"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-07","507","59","90","0","73.4","80.9","65.8"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-08","783","57","91","0","73.9","82.6","65.3"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-09","912","48","90","56","67.4","75.1","59.7"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-10","913","34","79","365","55.1","63.7","46.4"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-11","914","21","72","1079","41.2","48.7","33.7"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-12","914","14","61","1855","40.0","46.1","33.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-01","0","-3","56","2864","25.8","33.3","18.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-02","0","7","61","3837","30.2","37.1","23.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-03","0","21","70","4596","40.5","47.5","33.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-04","5","36","84","4887","55.5","64.6","46.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-05","53","46","89","5023","62.1","71.5","52.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-06","373","55","97","5025","75.6","84.9","66.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-07","855","67","99","0","80.6","88.5","72.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-08","1174","57","94","0","75.3","83.3","67.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-09","1299","54","90","13","68.8","75.8","61.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-10","1302","43","76","223","58.3","65.7","51.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-11","1302","25","73","619","51.8","58.9","44.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","1994-12","1302","20","64","1324","42.3","49.0","35.5"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-01","0","16","64","2165","37.9","43.5","32.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","1995-02","0","4","55","3096","31.8","38.7","24.8"
